dataset,maximum_candidate_cutoff,seed,method,original_nominal_candidates_per_second,actual_candidate_count,latency_s_per_query,corrected_throughput
arguana,20,2,dynamic_int8_reranker_cpu,81.09290680004797,20.0,0.2466306954480533,81.09290680004797
arguana,20,3,bm25_no_rerank,314.4340877092716,20.0,0.063606335259974,314.4340877092716
arguana,20,3,fp32_reranker_cpu,61.541814937175666,20.0,0.3249822908280621,61.541814937175666
arguana,20,3,dynamic_int8_reranker_cpu,81.25502139664366,20.0,0.24613863434200176,81.25502139664366
arguana,20,4,bm25_no_rerank,295.3930133879724,20.0,0.06770640839000407,295.3930133879724
arguana,20,4,fp32_reranker_cpu,61.18145612800529,20.0,0.32689643669407814,61.18145612800529
arguana,20,4,dynamic_int8_reranker_cpu,80.86962666129158,20.0,0.24731164005203754,80.86962666129158
arguana,20,5,bm25_no_rerank,295.97726047851836,20.0,0.06757275868985743,295.97726047851836
arguana,20,5,fp32_reranker_cpu,60.87125962406346,20.0,0.3285622824879683,60.87125962406346
arguana,20,5,dynamic_int8_reranker_cpu,81.34121048080738,20.0,0.2458778260340623,81.34121048080738
arguana,50,1,bm25_no_rerank,789.7548726960024,50.0,0.06331078379967948,789.7548726960024
arguana,50,1,fp32_reranker_cpu,61.09661551569818,50.0,0.8183759374879446,61.09661551569818
arguana,50,1,dynamic_int8_reranker_cpu,81.6098307991666,50.0,0.6126712861719424,81.6098307991666
arguana,50,2,bm25_no_rerank,721.258111819959,50.0,0.06932331044961756,721.258111819959
arguana,50,2,fp32_reranker_cpu,61.46965312732409,50.0,0.8134095030019671,61.46965312732409
arguana,50,2,dynamic_int8_reranker_cpu,81.71176377426104,50.0,0.6119069971140416,81.71176377426104
arguana,50,3,bm25_no_rerank,784.1403093217338,50.0,0.0637640986002225,784.1403093217338
arguana,50,3,fp32_reranker_cpu,61.661713870129525,50.0,0.8108759368140309,61.661713870129525
arguana,50,3,dynamic_int8_reranker_cpu,82.08806077727192,50.0,0.609101975690035,82.08806077727192
arguana,50,4,bm25_no_rerank,732.210934180442,50.0,0.0682863334401918,732.210934180442
arguana,50,4,fp32_reranker_cpu,61.3366338428875,50.0,0.8151735246520693,61.3366338428875
arguana,50,4,dynamic_int8_reranker_cpu,81.40102717758,50.0,0.6142428631879884,81.40102717758
arguana,50,5,bm25_no_rerank,749.1827843020138,50.0,0.06673938729996735,749.1827843020138
arguana,50,5,fp32_reranker_cpu,61.309812411807144,50.0,0.8155301416379953,61.309812411807144
arguana,50,5,dynamic_int8_reranker_cpu,81.62338343594384,50.0,0.6125695590558171,81.62338343594384
arguana,100,1,bm25_no_rerank,1559.7778430431235,100.0,0.06411169414030155,1559.7778430431235
arguana,100,1,fp32_reranker_cpu,61.56349107629324,100.0,1.6243393324799253,61.56349107629324
arguana,100,1,dynamic_int8_reranker_cpu,82.07329104413401,100.0,1.2184231767460878,82.07329104413401
arguana,100,2,bm25_no_rerank,1460.7869889623344,100.0,0.06845625047018984,1460.7869889623344
arguana,100,2,fp32_reranker_cpu,61.88307558417299,100.0,1.6159507111759595,61.88307558417299
arguana,100,2,dynamic_int8_reranker_cpu,82.46554676061507,100.0,1.2126276236339617,82.46554676061507
arguana,100,3,bm25_no_rerank,1567.6095220729378,100.0,0.06379139613018196,1567.6095220729378
arguana,100,3,fp32_reranker_cpu,61.843992679109526,100.0,1.616971926745915,61.843992679109526
arguana,100,3,dynamic_int8_reranker_cpu,82.11524193050535,100.0,1.2178007109158935,82.11524193050535
arguana,100,4,bm25_no_rerank,1460.3445739843826,100.0,0.06847698945952288,1460.3445739843826
arguana,100,4,fp32_reranker_cpu,61.60570154218513,100.0,1.6232263815959305,61.60570154218513
arguana,100,4,dynamic_int8_reranker_cpu,81.72611371003251,100.0,1.2235991100078973,81.72611371003251
arguana,100,5,bm25_no_rerank,1474.0695020995377,100.0,0.06783940638997592,1474.0695020995377
arguana,100,5,fp32_reranker_cpu,62.02635988603391,100.0,1.6122177761799685,62.02635988603391
arguana,100,5,dynamic_int8_reranker_cpu,82.25106822716663,100.0,1.2157896809779194,82.25106822716663
